dataset,family,rep,n,d,true_k,method,k_hat,runtime,n_tests,k_init,conf_lo,conf_hi,sep_evidence,p_median,ARI,AMI,NMI
sep_k5_d10,sep,4,800,10,5,CDK knn+2ec,5,4.501672267913818,45,18,5,5,0.4444444444444444,0.4230769230769231,0.9968691099886755,0.9952518682725183,0.995281596448275
sep_k5_d10,sep,5,800,10,5,CDK knn+2ec,5,4.390450477600098,48,20,5,5,0.3958333333333333,0.2586618876941458,0.9937579600246279,0.9915871831020886,0.9916398563708724
sep_k5_d10,sep,6,800,10,5,CDK knn+2ec,5,4.434905529022217,49,21,5,5,0.30612244897959184,0.5,0.9874866982641379,0.9820882917734481,0.9822004391620147
sep_k5_d10,sep,7,800,10,5,CDK knn+2ec,5,5.921349287033081,46,19,5,5,0.391304347826087,0.14500000000000002,1.0,1.0,1.0
sep_k5_d10,sep,8,800,10,5,CDK knn+2ec,5,4.84828519821167,49,22,5,5,0.2857142857142857,0.38461538461538464,0.9906666593459081,0.9883314061298462,0.9884044649935745
sep_k5_d10,sep,9,800,10,5,CDK knn+2ec,5,5.08466649055481,40,16,5,5,0.5,0.0275,0.9663573126730648,0.960444945595832,0.9606926392468654
sep_k5_d10,sep,10,800,10,5,CDK knn+2ec,5,3.888092517852783,50,22,5,5,0.3,0.75,0.9906271808867675,0.9868389844155382,0.9869213867182499
sep_k5_d10,sep,11,800,10,5,CDK knn+2ec,5,3.729558229446411,47,19,5,5,0.40425531914893614,0.6153846153846154,0.9937480346795808,0.9905061789482672,0.9905656200078304
sep_k5_d10,sep,12,800,10,5,CDK knn+2ec,5,5.185542106628418,39,15,5,5,0.5384615384615384,0.005,0.9814136993941059,0.9777998574287763,0.9779388619877611
sep_k5_d10,sep,13,800,10,5,CDK knn+2ec,5,4.714916229248047,41,17,5,5,0.4878048780487805,0.015,0.990646920349587,0.986843850651261,0.9869262229118854
sep_k5_d10,sep,14,800,10,5,CDK knn+2ec,5,4.611019134521484,40,17,5,5,0.475,0.095,0.9968691099886755,0.9952518682725183,0.995281596448275
sep_k5_d10,sep,15,800,10,5,CDK knn+2ec,5,4.72025465965271,49,20,5,5,0.3673469387755102,0.38461538461538464,0.975267096514509,0.965733297546151,0.9659478428067834
sep_k5_d10,sep,16,800,10,5,CDK knn+2ec,5,5.085865259170532,48,20,5,5,0.4166666666666667,0.13999999999999999,0.9937579600246279,0.9915871831020887,0.9916398563708725
sep_k5_d10,sep,17,800,10,5,CDK knn+2ec,5,4.0393147468566895,47,19,5,5,0.425531914893617,0.34615384615384615,1.0,1.0,1.0
sep_k5_d10,sep,18,800,10,5,CDK knn+2ec,5,4.189042568206787,39,16,5,5,0.4358974358974359,0.6153846153846154,0.9844831391365741,0.9788548232979921,0.9789872144721318
sep_k5_d10,sep,19,800,10,5,CDK knn+2ec,5,4.887606859207153,49,21,5,5,0.32653061224489793,0.6923076923076923,0.9968691099886755,0.9952518682725183,0.995281596448275
sep_k5_d50,sep,0,800,50,5,CDK knn+2ec,5,10.091344594955444,43,17,5,5,0.5116279069767442,0.005,0.9844251718430678,0.9799182901852591,0.980044026150531
sep_k5_d50,sep,1,800,50,5,CDK knn+2ec,5,10.533260107040405,42,17,5,5,0.47619047619047616,0.7884615384615385,1.0,1.0,1.0
sep_k5_d50,sep,2,800,50,5,CDK knn+2ec,5,10.674018621444702,39,16,5,5,0.5128205128205128,0.005,0.9968691099886755,0.9952518682725183,0.995281596448275
sep_k5_d50,sep,3,800,50,5,CDK knn+2ec,5,10.200864553451538,45,18,5,5,0.4666666666666667,0.8846153846153846,1.0,1.0,1.0
sep_k5_d50,sep,4,800,50,5,CDK knn+2ec,5,11.774234056472778,29,12,5,5,0.6896551724137931,0.005,0.9968691099886755,0.9952518682725183,0.995281596448275
sep_k5_d50,sep,5,800,50,5,CDK knn+2ec,5,12.704999208450317,38,14,5,5,0.6052631578947368,0.005,0.9968691099886755,0.9952518682725183,0.995281596448275
