dataset,family,rep,n,d,true_k,method,k_hat,runtime,ARI,AMI,NMI
sep_k10_d2,sep,13,800,2,10,UniForCE,10,0.29497432708740234,1.0,1.0,1.0
sep_k10_d2,sep,14,800,2,10,UniForCE,10,0.2680814266204834,1.0,1.0,1.0
sep_k10_d2,sep,15,800,2,10,UniForCE,10,0.2590599060058594,1.0,1.0,1.0
sep_k10_d2,sep,16,800,2,10,UniForCE,10,0.23599958419799805,0.9805724280002882,0.9839445035583081,0.9843077138813241
sep_k10_d2,sep,17,800,2,10,UniForCE,10,0.24805378913879395,1.0,1.0,1.0
sep_k10_d2,sep,18,800,2,10,UniForCE,10,0.23488521575927734,1.0,1.0,1.0
sep_k10_d2,sep,19,800,2,10,UniForCE,10,0.24322080612182617,1.0,1.0,1.0
sep_k10_d10,sep,0,800,10,10,UniForCE,10,0.24157381057739258,0.9972081748760527,0.9970106595018918,0.9970782736382755
sep_k10_d10,sep,1,800,10,10,UniForCE,10,0.2553384304046631,1.0,1.0,1.0
sep_k10_d10,sep,2,800,10,10,UniForCE,10,0.23963308334350586,1.0,1.0,1.0
sep_k10_d10,sep,3,800,10,10,UniForCE,9,0.2398529052734375,0.8304289386186243,0.9371856334158876,0.9384940330118782
sep_k10_d10,sep,4,800,10,10,UniForCE,10,0.2472667694091797,0.9785384701157744,0.9836769222353251,0.9840461989600011
sep_k10_d10,sep,5,800,10,10,UniForCE,10,0.2279679775238037,1.0,1.0,1.0
sep_k10_d10,sep,6,800,10,10,UniForCE,10,0.21871423721313477,1.0,1.0,1.0
sep_k10_d10,sep,7,800,10,10,UniForCE,10,0.23135089874267578,0.9370873044959083,0.951651918990384,0.952746023790065
sep_k10_d10,sep,8,800,10,10,UniForCE,10,0.27465224266052246,1.0,1.0,1.0
sep_k10_d10,sep,9,800,10,10,UniForCE,9,0.21216654777526855,0.8521361867924658,0.9347353268285162,0.9360887414118071
sep_k10_d10,sep,10,800,10,10,UniForCE,10,0.2232646942138672,1.0,1.0,1.0
sep_k10_d10,sep,11,800,10,10,UniForCE,10,0.25045275688171387,1.0,1.0,1.0
sep_k10_d10,sep,12,800,10,10,UniForCE,10,0.24771809577941895,1.0,1.0,1.0
sep_k10_d10,sep,13,800,10,10,UniForCE,10,0.2152557373046875,0.9581323282058005,0.9675920792187309,0.968325361565191
sep_k10_d10,sep,14,800,10,10,UniForCE,10,0.25118446350097656,1.0,1.0,1.0
sep_k10_d10,sep,15,800,10,10,UniForCE,10,0.22014403343200684,1.0,1.0,1.0
sep_k10_d10,sep,16,800,10,10,UniForCE,10,0.22131991386413574,0.9890457178955094,0.991123014258148,0.9913238118727026
sep_k10_d10,sep,17,800,10,10,UniForCE,10,0.2751436233520508,1.0,1.0,1.0
sep_k10_d10,sep,18,800,10,10,UniForCE,10,0.25354671478271484,1.0,1.0,1.0
sep_k10_d10,sep,19,800,10,10,UniForCE,10,0.1811656951904297,1.0,1.0,1.0
sep_k10_d50,sep,0,800,50,10,UniForCE,10,0.16034531593322754,1.0,1.0,1.0
sep_k10_d50,sep,1,800,50,10,UniForCE,10,0.17260456085205078,1.0,1.0,1.0
sep_k10_d50,sep,2,800,50,10,UniForCE,10,0.18184757232666016,1.0,1.0,1.0
sep_k10_d50,sep,3,800,50,10,UniForCE,10,0.18134856224060059,1.0,1.0,1.0
sep_k10_d50,sep,4,800,50,10,UniForCE,10,0.1822493076324463,1.0,1.0,1.0
sep_k10_d50,sep,5,800,50,10,UniForCE,10,0.18056106567382812,1.0,1.0,1.0
sep_k10_d50,sep,6,800,50,10,UniForCE,10,0.19382596015930176,1.0,1.0,1.0
sep_k10_d50,sep,7,800,50,10,UniForCE,10,0.19285106658935547,1.0,1.0,1.0
