dataset,family,rep,true_k,method,k_hat,ARI,runtime
sep_k2_d50,sep,1,2,CDK 2ec / no multiplicity corr.,2,1.0,14.563028812408447
sep_k2_d50,sep,1,2,CDK 2ec / n_min=15,2,1.0,16.33832550048828
sep_k2_d50,sep,1,2,CDK 2ec / n_min=40,2,1.0,10.45821213722229
sep_k2_d50,sep,2,2,CDK 2ec (default),2,1.0,14.793369054794312
sep_k2_d50,sep,2,2,CDK 2ec / Gaussian null,2,1.0,7.667500495910644
sep_k2_d50,sep,2,2,CDK 2ec / AD statistic,2,1.0,18.566104888916016
sep_k2_d50,sep,2,2,CDK 2ec / no multiplicity corr.,2,1.0,5.86832070350647
sep_k2_d50,sep,2,2,CDK 2ec / n_min=15,2,1.0,7.00402045249939
sep_k2_d50,sep,2,2,CDK 2ec / n_min=40,2,1.0,6.256360054016113
sep_k2_d50,sep,3,2,CDK 2ec (default),2,1.0,10.37797737121582
sep_k2_d50,sep,3,2,CDK 2ec / Gaussian null,2,1.0,4.370936632156372
sep_k2_d50,sep,3,2,CDK 2ec / AD statistic,2,1.0,18.36184930801392
sep_k2_d50,sep,3,2,CDK 2ec / no multiplicity corr.,2,1.0,6.796982526779175
sep_k2_d50,sep,3,2,CDK 2ec / n_min=15,2,1.0,7.591340780258179
sep_k2_d50,sep,3,2,CDK 2ec / n_min=40,2,1.0,4.501624584197998
sep_k2_d50,sep,4,2,CDK 2ec (default),2,1.0,7.368407011032104
sep_k2_d50,sep,4,2,CDK 2ec / Gaussian null,2,1.0,5.951564073562622
sep_k2_d50,sep,4,2,CDK 2ec / AD statistic,2,1.0,20.22186160087585
sep_k2_d50,sep,4,2,CDK 2ec / no multiplicity corr.,2,1.0,6.5789220333099365
sep_k2_d50,sep,4,2,CDK 2ec / n_min=15,2,1.0,6.474606275558472
sep_k2_d50,sep,4,2,CDK 2ec / n_min=40,2,1.0,11.702786922454834
sep_k2_d50,sep,5,2,CDK 2ec (default),2,1.0,5.745836019515991
sep_k2_d50,sep,5,2,CDK 2ec / Gaussian null,2,1.0,3.950636148452759
sep_k2_d50,sep,5,2,CDK 2ec / AD statistic,2,1.0,21.824902057647705
sep_k2_d50,sep,5,2,CDK 2ec / no multiplicity corr.,2,1.0,7.505168437957764
sep_k2_d50,sep,5,2,CDK 2ec / n_min=15,2,1.0,6.947969913482666
sep_k2_d50,sep,5,2,CDK 2ec / n_min=40,2,1.0,5.100187540054321
sep_k2_d50,sep,6,2,CDK 2ec (default),2,1.0,7.826019287109375
