dataset,family,rep,true_k,method,k_hat,ARI,n_tests,sep_evidence,runtime
null_t3_d2,null,0,1,CDK repaired R1999,1,1.0,26,0.11538461538461539,40.84701943397522
null_t3_d2,null,2,1,CDK repaired R1999,1,1.0,25,0.32,72.15062427520752
null_t3_d2,null,3,1,CDK repaired R1999,1,1.0,28,0.14285714285714285,42.10412335395813
null_t3_d10,null,0,1,CDK repaired R1999,1,1.0,10,0.0,0.9758224487304688
null_t3_d10,null,1,1,CDK repaired R1999,1,1.0,3,0.0,0.4190497398376465
null_t3_d10,null,2,1,CDK repaired R1999,1,1.0,23,0.0,1.7339959144592285
null_t3_d10,null,3,1,CDK repaired R1999,1,1.0,0,0.0,0.005249977111816406
null_t3_d10,null,4,1,CDK repaired R1999,1,1.0,10,0.0,1.1033785343170166
null_t3_d2,null,4,1,CDK repaired R1999,1,1.0,17,0.23529411764705882,39.81663250923157
null_aniso_d2,null,0,1,CDK repaired R1999,1,1.0,39,0.2564102564102564,67.33654546737671
null_aniso_d2,null,1,1,CDK repaired R1999,1,1.0,38,0.21052631578947367,89.44346904754639
null_aniso_d2,null,2,1,CDK repaired R1999,1,1.0,30,0.36666666666666664,62.37305164337158
null_aniso_d2,null,3,1,CDK repaired R1999,1,1.0,34,0.23529411764705882,60.005120515823364
null_aniso_d2,null,4,1,CDK repaired R1999,1,1.0,37,0.10810810810810811,72.43859624862671
null_aniso_d10,null,0,1,CDK repaired R1999,1,1.0,36,0.027777777777777776,31.83386754989624
null_aniso_d10,null,1,1,CDK repaired R1999,1,1.0,37,0.08108108108108109,42.98699355125427
null_aniso_d10,null,2,1,CDK repaired R1999,1,1.0,38,0.02631578947368421,39.767667293548584
null_aniso_d10,null,3,1,CDK repaired R1999,1,1.0,41,0.07317073170731707,50.69231700897217
null_aniso_d10,null,4,1,CDK repaired R1999,1,1.0,31,0.1935483870967742,51.728474855422974
Iris,real,0,3,CDK repaired R1999,2,0.5681159420289855,6,0.3333333333333333,12.538325309753418
Iris,real,1,3,CDK repaired R1999,2,0.5681159420289855,6,0.3333333333333333,11.594222784042358
Iris,real,2,3,CDK repaired R1999,2,0.5681159420289855,6,0.3333333333333333,8.983805179595947
Wine,real,0,3,CDK repaired R1999,3,0.9132811631904065,10,0.5,21.886935234069824
Wine,real,1,3,CDK repaired R1999,3,0.6201585324205922,6,0.6666666666666666,24.731018781661987
Wine,real,2,3,CDK repaired R1999,3,0.7061522803267194,10,0.5,30.209843397140503
Breast cancer,real,0,2,CDK repaired R1999,1,0.0,25,0.4,98.39660811424255
Breast cancer,real,1,2,CDK repaired R1999,1,0.0,32,0.28125,79.64272093772888
Breast cancer,real,2,2,CDK repaired R1999,1,0.0,26,0.34615384615384615,83.98503303527832
Digits,real,1,10,CDK repaired R1999,1,0.0,0,0.0,0.03834176063537598
Digits,real,0,10,CDK repaired R1999,2,0.013240733338136985,38,0.47368421052631576,338.8677079677582
Digits-700,real,0,10,CDK repaired R1999,1,0.0,16,0.1875,53.53416061401367
Digits-700,real,1,10,CDK repaired R1999,1,0.0,0,0.0,0.013264894485473633
Digits-700,real,2,10,CDK repaired R1999,1,0.0,42,0.35714285714285715,179.3872685432434
Digits,real,2,10,CDK repaired R1999,1,0.0,74,0.47297297297297297,543.2675065994263
Digits-0168,real,1,4,CDK repaired R1999,3,0.3301559014662356,33,0.5151515151515151,166.79554510116577
Digits-0168,real,0,4,CDK repaired R1999,3,0.11674385503228689,32,0.65625,226.02906775474548
Digits-0to4,real,0,5,CDK repaired R1999,1,0.0,39,0.4358974358974359,206.30645179748535
Digits-0to4,real,1,5,CDK repaired R1999,1,0.0,0,0.0,0.018352270126342773
Digits-0168,real,2,4,CDK repaired R1999,3,0.38924663613020755,33,0.696969696969697,219.7627718448639
Digits-PCA10,real,0,10,CDK repaired R1999,2,0.003583121719580721,59,0.4745762711864407,255.92861890792847
Digits-0to4,real,2,5,CDK repaired R1999,4,0.3768720264700182,37,0.5945945945945946,341.174232006073
Digits-PCA10,real,2,10,CDK repaired R1999,1,0.0,14,0.5714285714285714,92.64153790473938
BC-benign(1cls),real,0,1,CDK repaired R1999,1,1.0,17,0.35294117647058826,34.69597315788269
BC-benign(1cls),real,1,1,CDK repaired R1999,1,1.0,20,0.25,40.85706925392151
Digits-PCA10,real,1,10,CDK repaired R1999,3,0.04705005854414924,57,0.5614035087719298,282.05902433395386
BC-benign(1cls),real,2,1,CDK repaired R1999,1,1.0,20,0.2,40.71275186538696
BC-malignant(1cls),real,1,1,CDK repaired R1999,1,1.0,10,0.2,12.397294759750366
BC-malignant(1cls),real,0,1,CDK repaired R1999,1,1.0,10,0.4,30.946393966674805
BC-malignant(1cls),real,2,1,CDK repaired R1999,1,1.0,10,0.3,21.987548112869263
Digit-1(1cls),real,0,1,CDK repaired R1999,2,0.0,6,0.5,20.957201957702637
Digit-1(1cls),real,2,1,CDK repaired R1999,1,1.0,6,0.5,42.997426986694336
Digit-1(1cls),real,1,1,CDK repaired R1999,4,0.0,10,0.8,63.047343254089355
Digit-3(1cls),real,0,1,CDK repaired R1999,1,1.0,10,0.2,30.041212797164917
Digit-3(1cls),real,1,1,CDK repaired R1999,1,1.0,6,0.3333333333333333,25.161033153533936
Digit-7(1cls),real,0,1,CDK repaired R1999,1,1.0,0,0.0,0.005452871322631836
Digit-7(1cls),real,1,1,CDK repaired R1999,1,1.0,0,0.0,0.009874582290649414
Digit-7(1cls),real,2,1,CDK repaired R1999,1,1.0,0,0.0,0.005912303924560547
Wine-c1(1cls),real,0,1,CDK repaired R1999,1,1.0,0,0.0,0.002725839614868164
Wine-c1(1cls),real,1,1,CDK repaired R1999,1,1.0,0,0.0,0.002285003662109375
