dataset,family,rep,n,d,true_k,method,k_hat,runtime,ARI,AMI,NMI,conf_lo,conf_hi,n_tests,k_init,sep_evidence,p_median,abs_err,signed_err,exact
sep_k2_d2,sep,7,800,2,2,Elbow (Kneedle),6,0.10803627967834473,0.3324579785493868,0.5569395440790037,0.5580591966332208,,,,,,,4,4,0.0
sep_k2_d2,sep,7,800,2,2,Jump statistic,2,0.1023871898651123,1.0,1.0,1.0,,,,,,,0,0,1.0
sep_k2_d2,sep,7,800,2,2,Gap statistic,2,0.3814060688018799,1.0,1.0,1.0,,,,,,,0,0,1.0
sep_k2_d2,sep,7,800,2,2,X-means,2,0.010368824005126953,1.0,1.0,1.0,,,,,,,0,0,1.0
sep_k2_d2,sep,7,800,2,2,G-means,2,0.008929014205932617,1.0,1.0,1.0,,,,,,,0,0,1.0
sep_k2_d2,sep,7,800,2,2,dip-means,2,0.04281497001647949,1.0,1.0,1.0,,,,,,,0,0,1.0
sep_k2_d2,sep,7,800,2,2,ISODATA,4,0.019023895263671875,0.66738923655035,0.7163590993632442,0.7169113705090105,,,,,,,2,2,0.0
sep_k2_d2,sep,7,800,2,2,MDL split/merge,2,0.007445096969604492,1.0,1.0,1.0,,,,,,,0,0,1.0
sep_k2_d2,sep,7,800,2,2,GMM+BIC,2,0.19495248794555664,1.0,1.0,1.0,,,,,,,0,0,1.0
sep_k2_d2,sep,7,800,2,2,GMM+ICL,2,0.20523834228515625,1.0,1.0,1.0,,,,,,,0,0,1.0
sep_k2_d2,sep,7,800,2,2,HDBSCAN,2,0.005232572555541992,1.0,1.0,1.0,,,,,,,0,0,1.0
sep_k2_d2,sep,7,800,2,2,Bisecting+Sil.,2,0.12975096702575684,1.0,1.0,1.0,,,,,,,0,0,1.0
sep_k2_d2,sep,8,800,2,2,ORACLE k-means(k*),2,0.005791902542114258,1.0,1.0,1.0,,,,,,,0,0,1.0
sep_k2_d2,sep,8,800,2,2,CDK (proposed),2,2.9775075912475586,1.0,1.0,1.0,2.0,3.0,42.0,17.0,0.47619047619047616,0.0175,0,0,1.0
sep_k2_d2,sep,8,800,2,2,Silhouette,2,0.15042638778686523,1.0,1.0,1.0,,,,,,,0,0,1.0
sep_k2_d2,sep,8,800,2,2,Calinski-Har.,2,0.09077954292297363,1.0,1.0,1.0,,,,,,,0,0,1.0
sep_k2_d2,sep,8,800,2,2,Davies-Bouldin,2,0.1056978702545166,1.0,1.0,1.0,,,,,,,0,0,1.0
sep_k2_d2,sep,8,800,2,2,Elbow (Kneedle),6,0.0897672176361084,0.33285914909587794,0.5570753404197888,0.5581949283926197,,,,,,,4,4,0.0
sep_k2_d2,sep,8,800,2,2,Jump statistic,2,0.08565115928649902,1.0,1.0,1.0,,,,,,,0,0,1.0
sep_k2_d2,sep,8,800,2,2,Gap statistic,2,0.3300189971923828,1.0,1.0,1.0,,,,,,,0,0,1.0
sep_k2_d2,sep,8,800,2,2,X-means,2,0.008168935775756836,1.0,1.0,1.0,,,,,,,0,0,1.0
sep_k2_d2,sep,8,800,2,2,G-means,2,0.007414817810058594,1.0,1.0,1.0,,,,,,,0,0,1.0
sep_k2_d2,sep,8,800,2,2,dip-means,2,0.03352761268615723,1.0,1.0,1.0,,,,,,,0,0,1.0
sep_k2_d2,sep,8,800,2,2,ISODATA,6,0.016974925994873047,0.33824983927018554,0.5588211937754672,0.559939929961334,,,,,,,4,4,0.0
