dataset,family,rep,n,d,true_k,method,k_hat,runtime,ARI,AMI,NMI,conf_lo,conf_hi,n_tests,k_init,sep_evidence,p_median,abs_err,signed_err,exact
sep_k2_d2,sep,5,800,2,2,Gap statistic,2,0.33762240409851074,1.0,1.0,1.0,,,,,,,0,0,1.0
sep_k2_d2,sep,5,800,2,2,X-means,2,0.008258342742919922,1.0,1.0,1.0,,,,,,,0,0,1.0
sep_k2_d2,sep,5,800,2,2,G-means,2,0.007368803024291992,1.0,1.0,1.0,,,,,,,0,0,1.0
sep_k2_d2,sep,5,800,2,2,dip-means,2,0.03359794616699219,1.0,1.0,1.0,,,,,,,0,0,1.0
sep_k2_d2,sep,5,800,2,2,ISODATA,7,0.016706228256225586,0.2932917661070911,0.5271810479767179,0.5285401291265651,,,,,,,5,5,0.0
sep_k2_d2,sep,5,800,2,2,MDL split/merge,2,0.0054628849029541016,1.0,1.0,1.0,,,,,,,0,0,1.0
sep_k2_d2,sep,5,800,2,2,GMM+BIC,2,0.15461182594299316,1.0,1.0,1.0,,,,,,,0,0,1.0
sep_k2_d2,sep,5,800,2,2,GMM+ICL,2,0.16277337074279785,1.0,1.0,1.0,,,,,,,0,0,1.0
sep_k2_d2,sep,5,800,2,2,HDBSCAN,2,0.004631757736206055,1.0,1.0,1.0,,,,,,,0,0,1.0
sep_k2_d2,sep,5,800,2,2,Bisecting+Sil.,2,0.10552716255187988,1.0,1.0,1.0,,,,,,,0,0,1.0
sep_k2_d2,sep,4,800,2,2,ORACLE k-means(k*),2,0.0027382373809814453,1.0,1.0,1.0,,,,,,,0,0,1.0
sep_k2_d2,sep,4,800,2,2,CDK (proposed),2,4.018121004104614,1.0,1.0,1.0,2.0,2.0,48.0,19.0,0.5,0.015,0,0,1.0
sep_k2_d2,sep,4,800,2,2,CDK / Gaussian null,2,5.032165050506592,1.0,1.0,1.0,2.0,10.0,48.0,19.0,0.5,0.0125,0,0,1.0
sep_k2_d2,sep,4,800,2,2,CDK / AD statistic,2,5.120573997497559,1.0,1.0,1.0,2.0,3.0,48.0,19.0,0.3333333333333333,0.1325,0,0,1.0
